year	month	day	hour	minute	second	OOA1	OOA2	SO4	NH4	NO3	Correction factor
2005	4	2	15	0	0	0.687145	0.249551	0.233915	0.137829	0.153386	2
2005	4	2	15	10	0	0.674353	0.401965	0.161148	0.122234	0.137343	2
2005	4	2	15	20	0	0.701341	0.289204	0.18391	0.169846	0.10915	2
2005	4	2	15	30	0	0.731341	0.308603	0.175582	0.183207	0.119065	2
2005	4	2	15	40	0	0.634241	0.292526	0.19481	0.144145	0.181493	2
2005	4	2	15	50	0	0.845218	0.222591	0.305597	0.127603	0.117154	2
2005	4	2	16	0	0	0.772919	0.264479	0.158201	0.157258	0.0883698	2
2005	4	2	16	10	0	0.602736	0.316319	0.14595	0.130537	0.114452	2
2005	4	2	16	20	0	0.773222	0.168906	0.212622	0.11247	0.108543	2
2005	4	2	16	30	0	0.953904	0.138989	0.184761	0.119358	0.127882	2
