month	day	hour	minute	Doy (LT)	82Fac	OOA1	OOA2	91Fac
6	26	4	40	178.1944444444	0.645543	0.85487	0.0623452	0.137653
6	26	4	50	178.2013888889	0.693676	0.97146	0.149044	0.182298
6	26	5	0	178.2083333333	0.638371	0.743178	0.161103	0.176919
6	26	5	10	178.2152777778	0.721761	0.749027	0.120913	0.135198
6	26	5	20	178.2222222222	0.644223	0.892192	0.0615801	0.145165
6	26	5	30	178.2291666667	0.66161	0.847468	0.12408	0.204877
6	26	5	40	178.2361111111	0.664655	0.931644	0.0985315	0.116977
6	26	5	50	178.2430555556	0.616688	0.873414	0.118467	0.117843
6	26	6	0	178.25	0.507596	0.857926	0.0715546	0.151937
6	26	6	10	178.2569444444	0.527527	0.860582	0.0982774	0.154229
6	26	6	20	178.2638888889	0.481275	0.95865	0.0387063	0.158327
6	26	6	30	178.2708333333	0.483637	0.891589	0.0622891	0.173935
6	26	6	40	178.2777777778	0.348188	0.776541	0.0930153	0.128184
6	26	6	50	178.2847222222	0.42147	0.700181	0.0640618	0.106898
6	26	7	0	178.2916666667	0.417009	0.797564	0.0326898	0.142628
6	26	7	10	178.2986111111	0.412292	0.781021	0.0523742	0.0609398
6	26	7	20	178.3055555556	0.422685	0.802242	0.0648375	0.208262
6	26	7	30	178.3125	0.47611	0.743809	0.0391099	0.134755
6	26	7	40	178.3194444444	0.387174	0.845734	0.112847	0.202639
6	26	7	50	178.3263888889	0.333151	0.914294	0.04056	0.14946
6	26	8	0	178.3333333333	0.27018	0.589647	0.093342	0.158075
6	26	8	10	178.3402777778	0.337885	0.717875	0.0772149	0.186311
6	26	8	20	178.3472222222	0.334036	0.803495	0.125929	0.216406
6	26	8	30	178.3541666667	0.380699	0.714143	0.158346	0.212925
6	26	8	40	178.3611111111	0.286132	0.74315	0.116264	0.214473
6	26	8	50	178.3680555556	0.256903	0.67072	0.107456	0.143849
6	26	9	0	178.375	0.323866	0.689131	0.158129	0.261929
6	26	9	10	178.3819444444	0.26249	0.798019	0.196756	1.49E-08
6	26	9	20	178.3888888889	0.172959	0.624888	0.0594393	0.0970192
6	26	9	30	178.3958333333	0.225291	0.616438	0.0831243	0.128652
6	26	9	40	178.4027777778	0.178151	0.706209	0.0656684	0.122807
6	26	9	50	178.4097222222	0.157605	0.696356	0.0807127	0.0840907
6	26	10	0	178.4166666667	0.166505	0.596289	0.135893	0.125574
6	26	10	10	178.4236111111	0.247714	0.646848	0.142106	0.269798
6	26	10	20	178.4305555556	0.114204	0.521034	0.123528	0.0841921
6	26	10	30	178.4375	0.211634	0.54837	0.0634076	0.0801121
6	26	10	40	178.4444444444	0.133704	0.591848	0.0829498	0.100595
6	26	10	50	178.4513888889	0.142986	0.530053	0.0597811	0.088728
6	26	11	0	178.4583333333	0.175836	0.526123	0.0195726	0.0297955
