AOCTimewave, AmbTemp, DewPtTemp, DewPtTempTDL, H2Omr, PotTemp, RelHumidity, StaticPrs, VertWindSpd, WindDir, WindSpd
59587,19.6,10.502,-23.831,9.06,303.33,55.02,883.05,0.71,298.64,7.23
59588,19.464,10.256,-23.831,8.92,303.27,54.58,882.23,0.41,296.53,7.26
59589,19.455,9.991,-23.831,8.77,303.31,53.64,881.73,0.16,295.76,7.37
59590,19.453,9.655,-23.83,8.57,303.35,52.43,881.24,0,294.03,7.45
59591,19.411,9.293,-23.829,8.37,303.37,51.29,880.67,0.18,294.57,7.59
59592,19.326,8.947,-23.83,8.18,303.35,50.37,879.97,-0.01,293.81,7.48
59593,19.24,8.723,-23.83,8.06,303.31,49.87,879.48,-0.02,293.67,7.35
59594,19.14,8.596,-23.831,8,303.25,49.76,878.97,-0.11,295.18,7.19
59595,19.116,8.598,-23.83,8,303.28,49.84,878.47,0.02,296.51,7.12
59596,19.176,8.629,-23.83,8.02,303.39,49.76,878.02,-0.35,299.11,7.13
59597,19.077,8.655,-23.83,8.04,303.34,50.16,877.47,-0.2,297.87,7.21
59598,19.001,8.684,-23.829,8.07,303.32,50.51,876.86,-0.26,297.98,6.9
59599,19.028,8.631,-23.83,8.04,303.4,50.24,876.33,-0.3,299.68,6.85
59600,18.933,8.65,-23.831,8.05,303.33,50.61,876.07,-0.08,301.6,7.1
59601,18.992,8.747,-23.83,8.11,303.42,50.75,875.69,-0.34,302.21,7.27
59602,19.056,8.794,-23.829,8.14,303.54,50.71,875.16,-0.35,302.36,7.22
59603,19.047,8.794,-23.83,8.15,303.58,50.74,874.65,-0.33,302.96,7.14
59604,19.043,8.816,-23.831,8.17,303.65,50.83,873.91,-0.26,304.45,7.14
59605,19.058,8.743,-23.831,8.13,303.73,50.52,873.28,-0.42,305.54,7.18
59606,18.976,8.649,-23.831,8.08,303.7,50.46,872.69,-0.55,303.85,7.12
59607,18.991,8.599,-23.83,8.06,303.76,50.24,872.27,-0.63,304.04,6.99
59608,18.952,8.482,-23.829,8,303.79,49.96,871.57,-0.66,303.01,6.88
59609,18.966,8.312,-23.83,7.91,303.85,49.34,871.12,-0.83,305.79,6.73
59610,19.045,8.013,-23.83,7.76,303.98,48.09,870.68,-0.65,306.09,6.27
59611,19.064,7.694,-23.83,7.59,304.06,46.99,870.07,-0.69,308.95,6.13
59612,19.098,7.355,-23.829,7.42,304.14,45.8,869.62,-1.03,308.79,6.18
59613,19.078,7.034,-23.83,7.26,304.18,44.85,869.03,-0.96,308.14,6.23
59614,19.029,6.714,-23.831,7.11,304.2,44,868.27,-0.75,305.57,6.42
59615,19.035,6.423,-23.83,6.97,304.27,43.1,867.7,-0.63,306.44,6.54
59616,19.086,6.051,-23.831,6.8,304.39,41.86,867,-0.73,307.29,6.65
59617,19.05,5.559,-23.83,6.57,304.4,40.54,866.49,-0.53,308.6,6.77
59618,19.004,5.048,-23.83,6.35,304.42,39.22,865.88,-0.39,308.53,6.89
59619,18.972,4.657,-23.831,6.18,304.43,38.23,865.45,-0.39,308.83,6.92
59620,18.885,4.264,-23.832,6.01,304.39,37.39,864.94,-0.41,309.38,7
59621,18.853,3.919,-23.832,5.87,304.45,36.56,864.03,-0.32,309.55,7.04
59622,18.891,3.552,-23.831,5.73,304.56,35.54,863.27,-0.12,311.41,7.08
59623,18.824,3.185,-23.831,5.58,304.57,34.77,862.49,-0.25,314.63,7.24
59624,18.79,2.894,-23.831,5.47,304.62,34.13,861.71,-0.31,314.75,7.21
59625,18.752,2.723,-23.83,5.41,304.65,33.79,860.98,-0.19,315.38,6.77
59626,18.675,2.577,-23.83,5.36,304.63,33.61,860.36,0.2,315.21,6.63
59627,18.717,2.405,-23.831,5.3,304.76,33.1,859.52,0.08,317.96,6.6
59628,18.533,2.257,-23.829,5.25,304.65,33.14,858.7,-0.08,314.81,5.86
59629,18.436,2.143,-23.828,5.21,304.67,33.08,857.57,-0.1,317.24,6.33
59630,18.279,2.143,-23.83,5.22,304.61,33.41,856.46,-0.31,318.74,5.93
59631,18.312,2.234,-23.831,5.26,304.71,33.56,855.83,0.39,316.97,6.31
59632,18.408,2.477,-23.832,5.35,304.89,33.94,855.12,1.21,314.27,6.88
59633,18.504,2.776,-23.83,5.48,305.08,34.46,854.21,1.28,319.94,7.5
59634,18.65,3.068,-23.83,5.6,305.34,34.86,853.15,0.92,323.53,8.36
59635,18.607,3.237,-23.83,5.67,305.39,35.38,852.25,0.66,319.76,7.97
59636,18.709,3.386,-23.83,5.74,305.56,35.52,851.62,0.49,322.34,7.97
59637,18.64,3.531,-23.83,5.8,305.56,36.05,850.88,0.31,318.83,7.94
59638,18.651,3.701,-23.831,5.88,305.64,36.46,850.2,0.18,319.28,8.54
59639,18.65,3.868,-23.831,5.95,305.73,36.9,849.36,0.06,320.12,8.77
59640,18.735,3.965,-23.832,6,305.89,36.95,848.65,0.06,324.55,8.93
59641,18.73,3.966,-23.832,6,305.94,36.96,848.13,0.2,325.73,8.89
59642,18.73,3.919,-23.83,5.99,306,36.84,847.55,0.18,326.47,9.04
59643,18.653,3.801,-23.829,5.94,305.99,36.72,846.78,0,326.83,9.02
59644,18.606,3.684,-23.828,5.9,306.03,36.52,845.95,-0.03,326.69,8.97
59645,18.442,3.529,-23.829,5.84,305.91,36.5,845.43,0.14,325.28,8.86
