IEPOX-SOA	LO-OOA	MO-OOA	BBOA	ISOPOOH-SOA	T_series_start	T_series_end
0.0845135	0.822762	0.417818	0		6-6-2013 03:20	6-6-2013 03:24
					6-6-2013 03:24	6-6-2013 03:28
					6-6-2013 03:28	6-6-2013 03:32
					6-6-2013 03:32	6-6-2013 03:36
					6-6-2013 03:36	6-6-2013 03:40
					6-6-2013 03:40	6-6-2013 03:44
					6-6-2013 03:44	6-6-2013 03:48
					6-6-2013 03:48	6-6-2013 03:52
					6-6-2013 03:52	6-6-2013 03:56
					6-6-2013 03:56	6-6-2013 04:00
0.108054	0.898777	0.394227	0.00639375		6-6-2013 04:00	6-6-2013 04:04
0.0919189	0.888946	0.289036	0		6-6-2013 04:04	6-6-2013 04:08
					6-6-2013 04:08	6-6-2013 04:12
0.0416216	0.647215	0.232527	0		6-6-2013 04:12	6-6-2013 04:16
0.0872703	0.837454	0.389691	0.0012375		6-6-2013 04:16	6-6-2013 04:20
0.097973	0.918869	0.314982	0		6-6-2013 04:20	6-6-2013 04:24
					6-6-2013 04:24	6-6-2013 04:28
					6-6-2013 04:28	6-6-2013 04:32
					6-6-2013 04:32	6-6-2013 04:36
					6-6-2013 04:36	6-6-2013 04:40
					6-6-2013 04:40	6-6-2013 04:44
					6-6-2013 04:44	6-6-2013 04:48
					6-6-2013 04:48	6-6-2013 04:52
					6-6-2013 04:52	6-6-2013 04:56
					6-6-2013 04:56	6-6-2013 05:00
0.0476036	1.09853	0.332164	0.0164		6-6-2013 05:00	6-6-2013 05:04
0.0974595	1.01457	0.251309	0		6-6-2013 05:04	6-6-2013 05:08
					6-6-2013 05:08	6-6-2013 05:12
0.0733153	0.943623	0.350109	0		6-6-2013 05:12	6-6-2013 05:16
0.0714595	0.965885	0.375436	0		6-6-2013 05:16	6-6-2013 05:20
0.0795586	1.00825	0.365364	0		6-6-2013 05:20	6-6-2013 05:24
					6-6-2013 05:24	6-6-2013 05:28
					6-6-2013 05:28	6-6-2013 05:32
					6-6-2013 05:32	6-6-2013 05:36
					6-6-2013 05:36	6-6-2013 05:40
					6-6-2013 05:40	6-6-2013 05:44
					6-6-2013 05:44	6-6-2013 05:48
					6-6-2013 05:48	6-6-2013 05:52
					6-6-2013 05:52	6-6-2013 05:56
					6-6-2013 05:56	6-6-2013 06:00
0.015027	0.832846	0.1405	0		6-6-2013 06:00	6-6-2013 06:04
0.0103243	0.873915	0.195718	0		6-6-2013 06:04	6-6-2013 06:08
					6-6-2013 06:08	6-6-2013 06:12
0.0149459	1.12087	0.2328	0.0081		6-6-2013 06:12	6-6-2013 06:16
0.0293694	1.18755	0.232173	0.0057875		6-6-2013 06:16	6-6-2013 06:20
0.0368649	1.20524	0.182782	0		6-6-2013 06:20	6-6-2013 06:24
					6-6-2013 06:24	6-6-2013 06:28
					6-6-2013 06:28	6-6-2013 06:32
					6-6-2013 06:32	6-6-2013 06:36
					6-6-2013 06:36	6-6-2013 06:40
					6-6-2013 06:40	6-6-2013 06:44
					6-6-2013 06:44	6-6-2013 06:48
					6-6-2013 06:48	6-6-2013 06:52
					6-6-2013 06:52	6-6-2013 06:56
					6-6-2013 06:56	6-6-2013 07:00
0.0608739	1.74135	0.237682	0.0205625		6-6-2013 07:00	6-6-2013 07:04
0.0179009	1.78065	0.186473	0.0209625		6-6-2013 07:04	6-6-2013 07:08
					6-6-2013 07:08	6-6-2013 07:12
0.0348468	1.7929	0.356336	0.0448875		6-6-2013 07:12	6-6-2013 07:16
0.0486847	1.86023	0.334018	0.0074875		6-6-2013 07:16	6-6-2013 07:20
0.0730901	1.79465	0.311718	0		6-6-2013 07:20	6-6-2013 07:24
					6-6-2013 07:24	6-6-2013 07:28
					6-6-2013 07:28	6-6-2013 07:32
					6-6-2013 07:32	6-6-2013 07:36
					6-6-2013 07:36	6-6-2013 07:40
					6-6-2013 07:40	6-6-2013 07:44
					6-6-2013 07:44	6-6-2013 07:48
					6-6-2013 07:48	6-6-2013 07:52
					6-6-2013 07:52	6-6-2013 07:56
					6-6-2013 07:56	6-6-2013 08:00
0.0651892	1.47318	0.346691	0.0277438		6-6-2013 08:00	6-6-2013 08:04
0.0675946	1.40943	0.396391	0		6-6-2013 08:04	6-6-2013 08:08
					6-6-2013 08:08	6-6-2013 08:12
0.0755496	1.39305	0.443264	0.0129562		6-6-2013 08:12	6-6-2013 08:16
0.0908108	1.40062	0.352373	0.0350812		6-6-2013 08:16	6-6-2013 08:20
0.0644054	1.29685	0.404355	0		6-6-2013 08:20	6-6-2013 08:24
					6-6-2013 08:24	6-6-2013 08:28
					6-6-2013 08:28	6-6-2013 08:32
					6-6-2013 08:32	6-6-2013 08:36
					6-6-2013 08:36	6-6-2013 08:40
					6-6-2013 08:40	6-6-2013 08:44
					6-6-2013 08:44	6-6-2013 08:48
					6-6-2013 08:48	6-6-2013 08:52
					6-6-2013 08:52	6-6-2013 08:56
					6-6-2013 08:56	6-6-2013 09:00
					6-6-2013 09:00	6-6-2013 09:04
					6-6-2013 09:04	6-6-2013 09:08
					6-6-2013 09:08	6-6-2013 09:12
					6-6-2013 09:12	6-6-2013 09:16
					6-6-2013 09:16	6-6-2013 09:20
					6-6-2013 09:20	6-6-2013 09:24
					6-6-2013 09:24	6-6-2013 09:28
					6-6-2013 09:28	6-6-2013 09:32
					6-6-2013 09:32	6-6-2013 09:36
					6-6-2013 09:36	6-6-2013 09:40
					6-6-2013 09:40	6-6-2013 09:44
					6-6-2013 09:44	6-6-2013 09:48
