Start_LT	aPinene	bPinene	Isoprene	Limonene	Myrcene	O3	OH	nitrateSSfromben
3452961600	0.3328000009059906	0.2187000066041946	1.61300003528595	0.07020000368356705	0.008700000122189522			4.3872977e-05
3452961900	0.3407666683197021	0.2231666718920072	1.600983361403147	0.06960000346104304	0.008700000122189522			3.4222801e-05
3452962200	0.3487333357334137	0.2276333371798197	1.588966687520345	0.06900000323851903	0.008700000122189522			2.0862881e-05
3452962500	0.3567000031471252	0.2321000024676323	1.576950013637543	0.06840000301599503	0.008700000122189522			2.6152093e-05
3452962800	0.3646666705608368	0.2365666677554449	1.56493333975474	0.06780000279347102	0.008700000122189522			2.2817834e-05
3452963100	0.3726333379745483	0.2410333330432574	1.552916665871938	0.06720000257094701	0.008700000122189522			2.3047967e-05
3452963400	0.3806000053882599	0.2454999983310699	1.540899991989136	0.066600002348423	0.008700000122189522			3.5084282e-05
3452963700	0.3555500035484632	0.2307166655858358	1.464883327484131	0.06155000192423662	0.007866666768677533			3.2377819e-05
3452964000	0.3305000017086665	0.2159333328406016	1.388866662979126	0.05650000150005022	0.007033333415165544			3.4747743e-05
3452964300	0.3054499998688698	0.2011500000953674	1.312849998474121	0.05145000107586384	0.006200000061653554			4.444805e-05
3452964600	0.2803999980290731	0.1863666673501332	1.236833333969116	0.04640000065167744	0.005366666708141565			4.1210296e-05
3452964900	0.2553499961892763	0.1715833346048991	1.160816669464111	0.04135000022749106	0.004533333354629576			3.6678393e-05
3452965200	0.2302999943494797	0.1568000018596649	1.084800004959106	0.03629999980330467	0.003700000001117587			3.2572309e-05
3452965500	0.2378666624426842	0.1610666687289874	1.1019500096639	0.03863333289821943	0.003999999995964269			3.0021873e-05
3452965800	0.2454333305358887	0.1653333355983098	1.119100014368693	0.04096666599313418	0.00429999999081095			3.5847286e-05
3452966100	0.2529999986290932	0.1696000024676323	1.136250019073486	0.04329999908804893	0.004599999985657632			3.9947459e-05
3452966400	0.2605666667222977	0.1738666693369547	1.15340002377828	0.04563333218296369	0.004899999980504314			4.3517088e-05
3452966700	0.2681333348155022	0.1781333362062772	1.170550028483073	0.04796666527787844	0.005199999975350996			4.9323498e-05
3452967000	0.2757000029087067	0.1824000030755997	1.187700033187866	0.0502999983727932	0.005499999970197678			6.468108000000001e-05
3452967300	0.2927166670560837	0.1912166699767113	1.154866695404053	0.05218333192169666	0.006100000037501256			6.5225417e-05
3452967600	0.3097333312034607	0.2000333368778229	1.122033357620239	0.05406666547060013	0.006700000104804833			6.787949e-05
3452967900	0.3267499953508377	0.2088500037789345	1.089200019836426	0.05594999901950359	0.007300000172108412			8.27064e-05
3452968200	0.3437666594982147	0.2176666706800461	1.056366682052612	0.05783333256840706	0.007900000239411989			6.1869359e-05
3452968500	0.3607833236455917	0.2264833375811577	1.023533344268799	0.05971666611731052	0.008500000306715568			6.3933017e-05
3452968800	0.3777999877929688	0.2353000044822693	0.9907000064849854	0.06159999966621399	0.009100000374019146			4.0774579e-05
3452969100	0.3764499922593434	0.2394500027100245	0.9622000058492025	0.05901666668554147	0.008616667008027434			6.251334e-05
3452969400	0.3750999967257182	0.2436000009377798	0.9337000052134196	0.05643333370486895	0.008133333642035723			7.913636400000001e-05
3452969700	0.3737500011920929	0.247749999165535	0.9052000045776367	0.05385000072419643	0.007650000276044011			0.00010552376
3452970000	0.3724000056584676	0.2518999973932902	0.8767000039418539	0.05126666774352392	0.007166666910052299			0.00013462045
3452970300	0.3710500101248423	0.2560499956210454	0.8482000033060709	0.0486833347628514	0.006683333544060588			9.1406058e-05
3452970600	0.369700014591217	0.2601999938488007	0.8197000026702881	0.04610000178217888	0.006200000178068876			9.692461e-05
3452970900	0.3952000141143799	0.282983327905337	0.8376166721185049	0.0471833348274231	0.006216666816423337			6.6734217e-05
3452971200	0.4207000136375427	0.3057666619618734	0.8555333415667216	0.04826666787266731	0.006233333454777797			7.8581688e-05
3452971500	0.4462000131607056	0.3285499960184097	0.8734500110149384	0.04935000091791153	0.006250000093132257			8.8919354e-05
3452971800	0.4717000126838684	0.3513333300749461	0.8913666804631551	0.05043333396315575	0.006266666731486718			0.00015007982
3452972100	0.4972000122070312	0.3741166641314824	0.9092833499113718	0.05151666700839996	0.006283333369841178			0.00011984159
