HRNO3_Amb_CU	HROrg_Amb_CU	t_series_Local_Start
		3455953505
		3455954022
		3455954056
		3455954572
		3455954606
		3455955122
		3455955155
		3455955671
		3455955705
		3455956222
		3455956256
		3455956772
		3455956806
		3455958033
		3455958067
		3455958159
		3455958303
		3455958336
		3455958427
		3455958682
		3455958714
		3455958806
		3455959049
		3455959081
		3455959172
		3455959491
		3455959523
		3455959615
		3455959846
		3455959879
		3455959970
		3455960302
		3455960334
		3455960426
		3455962176
		3455962268
		3455962360
		3455962451
		3455962542
		3455962633
		3455962725
		3455962817
		3455962908
		3455962999
		3455963091
		3455963182
		3455963274
		3455963365
		3455963456
		3455963548
		3455963639
		3455963730
		3455963821
		3455963913
		3455964005
		3455964096
		3455964188
		3455972143
		3455972166
0.007	0.926	3455972200
		3455972358
		3455972393
		3455972403
		3455972438
		3455972530
		3455972642
0.01	0.891	3455972676
		3455973063
		3455973098
		3455973123
0.013	1.037	3455973158
		3455973250
		3455973362
		3455973397
		3455973489
		3455973602
0.002	1.151	3455973695
		3455973780
		3455973842
		3455973877
		3455973969
		3455974082
0.005	1.12	3455974117
		3455974209
		3455974322
		3455974357
		3455974449
		3455974562
0.005	0.921	3455974597
		3455974689
		3455974802
		3455974837
		3455974930
		3455975042
0.019	0.888	3455975077
		3455975169
		3455975282
		3455975316
		3455975409
		3455975523
0.015	0.888	3455975558
		3455975650
		3455975762
		3455975796
		3455975889
		3455976003
0.013	0.883	3455976037
		3455976131
		3455976242
		3455976277
		3455976369
		3455976482
0.007	0.901	3455976517
		3455976609
		3455976722
		3455976758
		3455976851
		3455976961
0.007	0.8179999999999999	3455976997
		3455977089
		3455977202
		3455977237
		3455977329
		3455977442
0.005	0.891	3455977477
		3455977570
		3455977682
		3455977717
		3455977808
		3455977922
0.011	0.744	3455977958
		3455978050
		3455978162
		3455978197
		3455978289
		3455978402
0.008999999999999999	0.782	3455978437
		3455978528
		3455978642
		3455978677
		3455978769
		3455978881
0.01	0.799	3455978916
		3455979008
		3455979122
		3455979158
		3455979250
		3455979362
0.006	0.755	3455979397
		3455979489
		3455979602
		3455979638
		3455979730
		3455979842
0.002	0.736	3455979877
		3455979969
		3455980081
		3455980116
		3455980208
		3455980323
0.004	0.605	3455980357
		3455980449
		3455980563
		3455980598
		3455980691
		3455980802
0.007	0.451	3455980837
		3455980929
		3455981042
		3455981078
		3455981170
		3455981282
0.005	0.474	3455981317
		3455981409
		3455981522
		3455981556
		3455981648
		3455981761
0.005	0.404	3455981796
		3455981889
		3455982002
		3455982037
		3455982129
		3455982243
0.013	0.529	3455982277
		3455982369
		3455982482
		3455982517
		3455982611
		3455982722
0.01	0.586	3455982757
		3455982849
		3455982962
		3455982997
		3455983090
		3455983202
0.004	0.356	3455983236
		3455983328
		3455983442
		3455983477
		3455983570
		3455983682
0.003	0.368	3455983717
		3455983809
		3455983922
		3455983957
		3455984049
		3455984162
0.001	0.439	3455984197
		3455984289
